zip_2,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,open_acc,revol_bal,dti,total_acc,mort_acc,time_delta
00,15817.5,1.3,13.001,482.474,5.3,23.2,7.3,3.9,77400.0,11.1,14004.7,18.074,28.1,1.2,6142.0
01,15361.415220293726,1.2681470030215727,12.803954746679066,462.14401658352364,5.363080598692994,23.899515142997682,6.301173494483873,3.707258801208629,80454.82958962827,11.821024523926638,18144.884055934228,17.350918417539248,24.955168294568196,1.6935563207083129,5978.337853980746
02,14809.246153846154,1.2422721893491124,12.839087810650044,449.49768615385324,5.361372781065088,23.849940828402367,6.04189349112426,3.5810650887573963,79299.4069287574,11.589301775147929,17669.10376331361,16.757010177514818,24.29031952662722,1.3905798816568047,5821.610887573965
03,14376.356527290138,1.2397063517395468,12.859302585381656,434.9789498882876,5.352377912543887,23.818384934567508,6.414458984998404,3.7468879668049793,77424.50851260772,11.523140759655282,17445.314873922758,18.95843281200131,25.313278008298756,1.8155122885413342,6025.756463453559
04,13856.96062118691,1.2290626733222407,12.868347199112625,420.3352689961177,5.336661120354964,23.698280643372158,6.463117027176927,3.8663338879645037,66706.72356627844,11.231281198003328,15859.820299500832,19.80152523571824,24.90848585690516,1.858014420410427,6212.874098724348
05,13248.410975128307,1.2179234109751282,12.909159099881787,403.1407895775748,5.326095538886696,23.69522305566522,6.583497828661666,3.7615475720489537,65304.16081721279,10.808527437820766,14926.89538097118,19.984232135807368,25.056849585471774,1.9423608369522305,6227.405448085275
06,14563.843303335098,1.2370037056643728,13.137276866065884,442.6939523557463,5.2816304923239805,23.44510322922181,6.395235574377978,3.7133403917416623,84507.07336209637,12.213234515616728,19005.277977766014,17.017783483324536,25.329433562731605,1.630545262043409,6124.335309687665
07,15305.089153046063,1.2392644873699852,13.09536292719048,465.22676188707794,5.290044576523031,23.483283803863298,6.096805349182763,3.5609212481426447,89475.04691493315,12.307020802377414,18768.123476968798,16.468446136701438,25.05111441307578,1.237369985141159,5933.295022288262
08,14991.969519343493,1.2573525663897243,13.233165808654078,452.45298435190756,5.251592843671951,23.301646363219326,6.522911463377338,3.7466231714154645,81317.35785565012,12.281767674193384,18140.281920587186,17.4861904276467,25.7599775727611,1.6788317447372445,6105.014781589276
09,16963.492063492064,1.1587301587301588,12.194206349206349,528.4223809523809,5.468253968253968,24.571428571428573,8.436507936507937,3.484126984126984,86558.84063492063,10.079365079365079,16534.285714285714,20.134523809523813,25.73015873015873,1.0952380952380953,5833.809523809524
10,14640.088743504664,1.2106366994302886,13.393237964062342,452.0137209666303,5.21345395354661,23.083202904902024,5.9660990421336,3.36999937394353,88917.94797940279,11.57415638890628,17130.0758780442,14.903074563325596,22.60968509359544,0.6416139735804169,5628.997245351531
11,14508.59237162225,1.2191707679450274,13.431485978268743,446.7419857925604,5.204661528461324,23.034172160832018,6.116004271520104,3.4566812145974555,80159.12506151918,11.731753180425295,16735.179752066117,15.415635156467621,22.832249976785217,0.7559894140588727,5597.723465502832
12,14201.616766467067,1.2662674650698602,13.33262375249588,427.9151337325351,5.221856287425149,23.17235528942116,6.854690618762475,3.7872255489021955,72922.12536227543,12.083033932135729,16606.98253493014,19.219981037924136,26.08502994011976,1.5464071856287425,6115.1038922155685
13,13455.356671940928,1.2551424050632911,13.405832014768661,407.2101292194081,5.206487341772152,23.081223628691983,6.941191983122363,3.883570675105485,64485.57308148733,12.05353375527426,14303.965981012658,20.763247626582206,26.710311181434598,1.5150316455696202,6059.7220464135025
14,13252.516139068211,1.244458271758575,13.276430738118734,400.62819086879057,5.245236058178424,23.25340281558684,6.775297503305592,3.840242669362993,65576.8220144668,12.23061367348526,15116.910087889866,19.792823364704024,26.532861476238626,1.4461382904254492,6052.767908532317
15,13483.899374243036,1.2665522809850627,13.273212555511494,404.0069095680266,5.239503431570448,23.232741219216795,6.151695599515543,3.8304400484457006,68405.46343964475,12.16037545417844,15379.342753330642,19.712359709325852,25.62797739200646,1.3789866774323778,6002.395841744045
16,13235.320990622746,1.2685741764847318,13.216044722288773,394.33150997836054,5.251743207501804,23.287088242365954,6.627795143063237,3.8817023322914164,64452.10981245491,11.760038470786247,14905.688627073816,20.535679249819673,25.87953835056504,1.4681413801394565,6072.128877133927
17,13788.98062670654,1.2805876999089845,13.508127681706743,413.1075191782596,5.173319464308933,22.907164217917046,6.536731244311533,3.80340657911845,66205.90822519828,11.550383565206085,16264.486282668053,19.73496294370045,25.91015472630347,1.8053569106748146,6029.200754128202
18,14475.222757375075,1.2739313666465983,13.361995183625176,434.62142805539185,5.213004214328718,23.09271523178808,6.667068031306442,3.826610475617098,74242.69727633956,12.043708609271523,17257.054665863936,18.922726068633423,26.061047561709813,1.7836243226971704,6232.4246839253465
19,14505.686546463245,1.263002773925104,13.342265372167423,437.5643070966304,5.216019417475728,23.12731160425335,6.2089112343966715,3.7281553398058254,77553.09991331481,11.992718446601941,18424.47000693481,18.071063337956566,25.287852519648638,1.630085529357374,5938.36349976884
20,15854.97391107078,1.2585753176043557,13.208701905625336,478.824990925597,5.252676950998185,23.313838475499093,6.002177858439201,3.6428765880217786,92772.1693938294,11.88929219600726,19695.904174228675,16.934337114337552,25.76470054446461,1.8172413793103448,5890.834119782214
21,14844.766170036655,1.272437034409365,13.285544519332372,444.969451342087,5.232470143076741,23.206456190138347,6.387075795199244,3.7481967600804067,80407.7250857278,11.815833037720232,17856.92668795081,18.023136455007656,25.897954357337117,1.920480075676954,5955.089038666194
22,15874.535535240342,1.2571512828074314,13.03880197581778,479.3280256561524,5.303450309643173,23.568416396343263,5.966897670303745,3.6214980831613093,89622.71202300207,11.707387201415512,19588.156443526983,17.657539074019404,26.173621350634033,1.7801533470952522,5948.205617811855
23,14754.179659390742,1.2903973774686175,13.6404421523941,442.25178540017936,5.14240025585672,22.726073398896617,6.589909650595667,3.7534180858719117,73280.50086031824,11.710402174782121,17182.746302070842,19.07185975853519,26.096106180538897,2.0073558807068044,5934.812105221076
24,13070.108907040063,1.2631271878646442,13.387779074289925,392.70733177751714,5.220925709840529,23.143523920653443,6.747374562427071,3.9210423959548812,60893.99132827694,10.914430182808246,14190.267211201866,20.242693504472943,25.429599377674055,1.8022170361726955,6044.302022559315
25,14394.395310571781,1.3035787741670095,13.074290415467011,424.2098724804607,5.285890580008227,23.452900041135337,6.802139037433155,3.983545865898807,69470.1822706705,11.715343480049363,14701.587823940765,19.537470176881936,26.996709173179763,1.914438502673797,6100.812011517894
26,13748.53391126976,1.2906680265170831,13.258133605303495,406.44984191738894,5.216216216216216,23.17134115247323,6.605813360530342,3.9479857215706273,65443.941657317686,11.58796532381438,14345.411524732279,20.135339112697608,26.941866394696582,1.6751657317695055,6118.39010708822
27,14059.950477433129,1.2635075025206097,13.364384674692339,422.3767813297016,5.214044244113635,23.12952968388589,6.283850305438586,3.816855465274895,71786.75412312437,11.533301702152897,16457.80979775814,18.687908190498767,24.87693493861574,1.7188778838740288,5997.599134096436
28,14318.382201910239,1.2727226044983055,13.447751360787803,429.9914126527709,5.1938482078669,23.005186402382662,6.362226558488241,3.835524288795317,72689.5644438739,11.215723528807642,16368.007291773647,18.85708226353092,24.70920201294033,1.7716955941255006,5983.783403512375
29,14186.934304185987,1.2566446809900085,13.374998367399554,428.96688826487906,5.210931887938353,23.09795598511069,6.450205707568732,3.89636256775289,72691.67643113693,11.493698164957879,15396.759354796579,19.329207862600306,25.674916737412655,1.8664533402990924,6146.388493436949
30,14688.046861236713,1.2465500029361678,13.23152563274226,445.7638584180012,5.248752128721592,23.282077632274355,6.154001996594046,3.81096952257913,77702.77581977805,11.892829878442656,16911.145898173705,18.362809618885525,25.61459862587351,1.8823771213811733,5988.938780903165
31,14060.270635994588,1.2585926928281461,13.662240866035908,426.77584844384285,5.128958051420839,22.69255751014885,6.921515561569689,3.868876860622463,68147.75405683354,11.447767253044654,15002.347902571042,20.247119079837653,26.039918809201623,1.7500676589986468,5937.017726657646
32,13619.191502621065,1.2313501228050883,13.299463690016811,414.5513955790222,5.22922394515928,23.191429304593278,6.310385278052714,3.7523003042633527,68507.82087723158,11.45430550973276,14871.265149015726,19.056110927819905,24.760658381905497,1.6750614025440815,5965.1009934381755
33,13861.942942760534,1.219482070906477,13.346633055940732,425.5341401931591,5.224219968009071,23.141246026443135,6.024661361841706,3.6672740893721274,73626.24290105086,11.70307153414728,15469.379153252748,18.02864726963495,23.73996233979226,1.3347911478264392,5664.147360748345
34,13398.333777215526,1.2223849790265664,13.327375990411207,410.03668686331287,5.2226513083427655,23.147746188161662,6.383780544643452,3.7946600972102003,68192.26957254145,11.452959584526267,14485.68746254744,18.793326453159388,24.21073307144284,1.6786736800053266,6037.036353951661
35,14113.099155423934,1.280026324448832,13.6853921246033,423.8701524624342,5.121092464626522,22.636941976527368,6.7570472743226935,3.9531644181199956,70245.91469891412,11.347811780190852,15131.96742349457,19.872407590216074,26.62048919600746,1.9947351102336295,6164.87912690578
36,13820.392429114294,1.2674656533177433,13.78608009354055,418.0810318620292,5.1018707980122775,22.516223326512716,6.872259573224204,3.956153171587255,67068.96107570887,11.263665594855306,13933.291873721135,20.469112832505065,26.0255773165741,1.8037123648056124,6094.751534638995
37,14189.260651629073,1.2648048693161476,13.551704260650729,428.5504131758003,5.158037952022914,22.810669530970284,6.291299677765843,3.8397422126745435,68256.71085284639,11.45485141424991,15029.812960973863,19.825422842821354,26.26544933762979,1.9877551020408164,5948.7563909774435
38,14008.676041390288,1.243433271424781,13.445366144866814,426.2282793844527,5.171132926505704,22.89254444149642,6.782435659326081,3.906739188113558,69005.87464446801,11.66012204828867,14136.767312284426,20.233934730697875,26.573759617935792,1.7743433271424782,6142.201644998673
39,14122.20424107143,1.2430803571428573,13.520979910713976,429.92760491071436,5.115178571428571,22.6,6.799107142857143,4.003125,69834.00647098217,11.269866071428572,13577.40625,20.470823660714373,26.933035714285715,1.6310267857142857,6310.842857142857
40,13726.60842228396,1.2675829799678315,13.253092557392067,411.68068577277603,5.233513671589414,23.23336745138178,6.620266120777892,3.852317590290978,69081.90813423017,11.54262319052493,15391.586196812399,19.15968416435148,26.53867524491885,1.9700248574352976,5967.803918701565
41,13886.318795430945,1.2834890965732086,13.55191069574254,416.43584631360335,5.157840083073728,22.849775008653513,6.633783316026307,3.94877120110765,67869.52553132572,11.895811699550018,15137.13464866736,19.857331256490145,26.406715126341293,1.8920041536863967,5977.158186223607
42,13293.187044844768,1.2610195477194328,13.359237255653733,400.91627443464876,5.221540820237639,23.13223457263319,6.691069375239556,3.936374089689536,63805.021985435036,11.236489076274434,14195.929858183212,19.688179379072423,27.23112303564584,2.040628593330778,5992.275201226524
43,13687.003777350154,1.2630603663316942,13.25239541016251,411.15158791248484,5.239541016321003,23.232841565105836,6.422635592616349,3.7883258499037846,68317.63308459839,11.890528116313876,15365.66623904212,19.411913619841755,25.360344950466825,1.6441451072624902,5922.4946190578
44,13567.693557457977,1.2522027119915016,13.255925763918611,409.4069874398584,5.243766793726176,23.227957258014122,6.657876648128476,3.8220958570268073,66168.16329313253,12.060926076360682,15238.7701056052,19.86607136161975,25.249515715803287,1.586952446416297,6136.043179403861
45,13874.341941892228,1.2618160748282428,13.343805148580143,417.78793394587007,5.221422067709627,23.13575035179207,6.59084512871451,3.8480258256766824,68321.43204949921,11.856054962337554,15367.839334492177,19.591993212482276,25.431007366939824,1.828656568164887,6011.966807383495
