zip_2,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,open_acc,revol_bal,dti,total_acc,mort_acc,time_delta
00,5331.745206256995,0.4830458915396479,5.049062509240921,181.52130105796888,1.3374935098492586,7.052186422190875,3.2335051500740732,0.5676462121975466,34849.517771253144,4.067486256208427,5808.620663385681,9.291131015950402,12.887978895078932,1.3165611772087666,2338.3642906004948
01,8169.595445726503,0.44301013382279186,4.804053161269919,243.91376588161302,1.3062088217640915,6.524079979750757,3.5589520752171313,0.6292495818431941,71122.86738142863,5.526713694682998,23974.394009898573,12.007814545886196,11.478720565320884,2.0373980470568354,2682.340638854987
02,8207.455567768537,0.42846827891271955,4.77339118774779,246.22678148008467,1.299594276872478,6.491594759355742,3.6019514652605875,0.6458916395282158,53397.69089080495,5.437752543727278,26540.929401694117,8.26672732035094,11.51194284965801,1.9365323190353743,2715.597751571116
03,8627.296527084476,0.4269382934506543,4.71492497822045,259.21795315926454,1.2824526064559885,6.4025548827964505,3.5664180338726195,0.6272050411656777,79362.49957491612,5.163057808714657,24883.384227983726,9.565688669108976,11.481426308736859,2.077767088561724,2588.3176997776336
04,8541.284359482897,0.42034624219621186,5.029983300758758,255.035167893262,1.2480054453143021,6.279375568519413,3.658743293455679,0.6506150368634372,43788.56607761843,5.363612953794216,18938.846767688858,9.19907530174117,11.83262622487394,1.975382862569179,2660.231962132847
05,8001.495354892491,0.41291658898094574,4.764910848951205,239.76668125108623,1.3038775996910679,6.472286045167,3.526675047616978,0.6365558037428142,36583.33645436414,5.013257928552286,14576.661387257584,8.81677254626122,11.638577339521785,2.2036506299350624,2613.808385461771
06,8862.408300779958,0.4252558319629323,4.742650467807087,266.99105342480897,1.2910366679347545,6.435537699685663,3.5394000932878495,0.6519573197108905,101133.84112181376,5.717348796458751,40865.36343217852,8.19346138132705,11.816352275870805,1.9776743133680943,2845.199390800288
07,9003.83215225922,0.4266424194903952,4.7358734496434325,271.8331462392276,1.2974574424981142,6.465671961695676,3.5733270481997743,0.6718313583682504,67979.50198483274,5.822853534116943,27966.005169848348,8.464123967400784,12.005771589246532,1.8517354086737046,2843.5936270521647
08,8979.341413448807,0.43718641921869544,4.761469885130113,267.9716413975564,1.3040269061903027,6.4904269979001645,3.5372596305061514,0.6616146211176573,50835.95081625489,5.731354492556956,24326.045491081197,11.159939958954924,12.033325997819121,2.0226482806114277,2860.38392508494
09,9286.087793464829,0.36688305303349,5.057688381571107,291.88903534988384,1.3953437307646197,7.082856566587886,2.6427138528294183,0.6897434535724364,39049.410236912016,4.498183054706733,13146.293533833566,8.52381563452827,11.639527618189803,1.5667983733898698,2188.3600863268757
10,8844.214067699784,0.4077671947714094,4.777831400967533,270.16174745626734,1.3101510499547286,6.500839361336507,3.5954628077739645,0.6398516663676345,90702.35647776927,5.7739675811574696,26713.645514046122,8.443231710427085,11.851879929485985,1.370848229099637,2793.038550848434
11,8690.608658414427,0.4136893948075359,4.770562427088581,264.46002706173556,1.303824491436985,6.473625581823006,3.5666128551318015,0.6807214626598759,82082.92788284575,5.745395911906981,26813.507982254112,8.548650768661043,11.639620369774118,1.464140565921557,2755.370914406748
